epoch: 14 || Test_Reward: -64.62807953796076 || Final_Distance_to_Target: 0.47909287438320713 || Continuity_Cost: 1.7792381346225739 
epoch: 15 || Test_Reward: -64.29174649386667 || Final_Distance_to_Target: 0.47909170103122384 || Continuity_Cost: 1.6724972054362297 
epoch: 16 || Test_Reward: -64.5943185666885 || Final_Distance_to_Target: 0.4790921904701754 || Continuity_Cost: 2.690799906849861 
epoch: 17 || Test_Reward: -64.51536725311658 || Final_Distance_to_Target: 0.47909064299605925 || Continuity_Cost: 2.265721373260021 
epoch: 18 || Test_Reward: -64.64961480988838 || Final_Distance_to_Target: 0.47909497539593326 || Continuity_Cost: 1.2221766635775566 
epoch: 19 || Test_Reward: -64.75117951953352 || Final_Distance_to_Target: 0.4790912684049661 || Continuity_Cost: 2.7408672496676445 
epoch: 20 || Test_Reward: -64.57857123721662 || Final_Distance_to_Target: 0.4790932511619002 || Continuity_Cost: 1.6517240554094315 
epoch: 21 || Test_Reward: -64.9176638505656 || Final_Distance_to_Target: 0.4790926263943197 || Continuity_Cost: 2.257530577480793 
epoch: 0 || Test_Reward: -64.36917370228652 || Final_Distance_to_Target: 0.47909427700520857 || Continuity_Cost: 1.3606245629489422 
epoch: 1 || Test_Reward: -64.77123385216915 || Final_Distance_to_Target: 0.47909358350654146 || Continuity_Cost: 4.241086915135384 
epoch: 2 || Test_Reward: -64.36305813880756 || Final_Distance_to_Target: 0.4790938930916967 || Continuity_Cost: 4.387744516134262 
epoch: 3 || Test_Reward: -64.80084652316229 || Final_Distance_to_Target: 0.47909273514351414 || Continuity_Cost: 2.319682389497757 
epoch: 4 || Test_Reward: -64.82936525340456 || Final_Distance_to_Target: 0.4790929832993204 || Continuity_Cost: 1.605350337922573 
epoch: 5 || Test_Reward: -64.69624247109795 || Final_Distance_to_Target: 0.4790939155167974 || Continuity_Cost: 1.2377460487186909 
epoch: 6 || Test_Reward: -64.91382357617792 || Final_Distance_to_Target: 0.47909293000990516 || Continuity_Cost: 1.945916935801506 
epoch: 7 || Test_Reward: -64.7058087440186 || Final_Distance_to_Target: 0.47909514008569937 || Continuity_Cost: 2.587452158331871 
epoch: 8 || Test_Reward: -64.31520192402408 || Final_Distance_to_Target: 0.4790922528003903 || Continuity_Cost: 1.5979288145899773 
epoch: 9 || Test_Reward: -64.64747890734608 || Final_Distance_to_Target: 0.4790925489941476 || Continuity_Cost: 2.1631985902786255 
epoch: 10 || Test_Reward: -64.79174208847895 || Final_Distance_to_Target: 0.4790914849700088 || Continuity_Cost: 1.87300443649292 
